;CELL SUSPENSION ID (Required);CELL SUSPENSION NAME;CELL SUSPENSION DESCRIPTION;SOURCE TISSUE ID;NCBI TAXON ID (Required);GENUS SPECIES (Required);SPECIES ONTOLOGY ID;SPECIES ONTOLOGY LABEL;ESTIMATED CELL COUNT;WELL LABEL;PLATE LABEL;SELECTED CELL TYPE;CELL TYPE ONTOLOGY ID;CELL TYPE ONTOLOGY LABEL;BIOSAMPLES ID;INSDC BIOMATERIAL ID;DISSOCIATION PROTOCOL ID;ENRICHMENT PROTOCOL ID;CELL MORPHOLOGY;CELL SIZE;CELL SIZE UNIT;LENGTH UNIT ONTOLOGY ID;LENGTH UNIT ONTOLOGY LABEL;GENOTYPE;SUPPLEMENTARY FILES
;A unique ID for the biomaterial.;A short, descriptive name for the biomaterial that need not be unique.;A general description of the biomaterial.;The unique Tissue ID of the tissue this cell suspension was derived from.;A taxonomy ID (taxonID) from NCBI.;The name of the species to which the organism belongs.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;Total estimated number of cells in the suspension.;;;The name of a cell type supplied by a user.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;A BioSamples ID.;An International Nucleotide Sequence Database Collaboration (INSDC) sample accession.;An ID of a Dissociation protocol used to generate this cell suspension.;An ID of an Enrichment protocol used to generate this cell suspension.;General description of the morphology of cells.;Size of cells in Cell size unit.;The name of a length unit being used.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;Genotype of the biomaterial.;A list of filenames of biomaterial-level supplementary files.
;;;;Use a Tissue ID you already provided in the Tissue Tab.; For example: 9606;" For example: Homo sapiens; Mus musculus";" For example: NCBITaxon:9606; NCBITaxon:10090";" For example: Homo sapiens; Mus musculus";Enter 1 for well-based assays. For example: 2100;;;" For example: bone marrow hematopoietic cell; cardiac muscle cell";" For example: CL:1001610; CL:0000746";" For example: bone marrow hematopoietic cell; cardiac muscle cell";Enter ID if sample has been archived. ID can be from the DDBJ, NCBI, or EMBL-EBI and must start with SAMD, SAMN, or SAME, respectively. For example: SAMN00000000;Enter accession if sample has been archived. Accession can be from the DDBJ, NCBI, or EMBL-EBI and must start with DRS, SRS, or ERS, respecitvely. For example: SRS0000000;Use a Dissociation protocol ID you provided in the Dissociation protocol Tab.;Use an Enrichment protocol ID you provided in the Enrichment protocol Tab.;" For example: adherent cells; form single layer colonies";"Enter a single value or a range. Average value is acceptable. For example: 15; 20-30";" For example: micrometer; meter";" For example: UO:0000017; UO:0000008";" For example: micrometer; meter";" For example: DRB1 0401 protective allele; HLA-B*3901 allele";
cell_suspension.uuid;cell_suspension.biomaterial_core.biomaterial_id;cell_suspension.biomaterial_core.biomaterial_name;cell_suspension.biomaterial_core.biomaterial_description;specimen_from_organism.biomaterial_core.biomaterial_id;cell_suspension.biomaterial_core.ncbi_taxon_id;cell_suspension.genus_species.text;cell_suspension.genus_species.ontology;cell_suspension.genus_species.ontology_label;cell_suspension.estimated_cell_count;cell_suspension.plate_based_sequencing.plate_label;cell_suspension.plate_based_sequencing.well_label;cell_suspension.selected_cell_types.text;cell_suspension.selected_cell_types.ontology;cell_suspension.selected_cell_types.ontology_label;cell_suspension.biomaterial_core.biosamples_accession;cell_suspension.biomaterial_core.insdc_sample_accession;dissociation_protocol.protocol_core.protocol_id;enrichment_protocol.protocol_core.protocol_id;cell_suspension.cell_morphology.cell_morphology;cell_suspension.cell_morphology.cell_size;cell_suspension.cell_morphology.cell_size_unit.text;cell_suspension.cell_morphology.cell_size_unit.ontology;cell_suspension.cell_morphology.cell_size_unit.ontology_label;cell_suspension.biomaterial_core.genotype;cell_suspension.biomaterial_core.supplementary_files
;FILL OUT INFORMATION BELOW THIS ROW;;;;;;;;;;;;;;;;;;;;;;;;
467e21e3-1f08-483f-9f77-128c70f018cb;GSM2513639_C85;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C85;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466412;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
476310bd-b4ac-4dc7-95b7-1c1c205fa5b1;GSM2513670_C87;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C87;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466397;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
94f56017-1257-46e7-ad22-9c0d974500f4;GSM2513710_C88;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C88;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467484;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
deb1bd57-f177-4d4f-96f7-1f36245a757c;GSM2513659_C89;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C89;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466402;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
3292ad60-989b-4727-8649-50641b2dba8d;GSM2513600_C9;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C9;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466430;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
a4e9c0af-3d06-4cc4-bb81-21dd8137f58f;GSM2513757_C90;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C90;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467461;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
5e4bc23b-e615-4018-8992-41c276e36609;GSM2513687_C93;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C93;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466389;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
71481efa-e50d-46d2-8c5c-ea782fff0bed;GSM2513574_C96;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C96;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466444;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
f469352f-df21-4b49-8049-87278b5bf7f7;GSM2513464_C10;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C10;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466503;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
785639cb-d933-4bd8-a19e-9bae707a9696;GSM2513700_C12;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C12;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466383;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
91d90f95-2501-4e37-be65-c0ca647f0686;GSM2513712_C13;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C13;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467483;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
b18f67f8-c337-496d-a762-a737ca5d6d56;GSM2513627_C14;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C14;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466416;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
c73b222d-a03d-4f7b-a2cf-1c59bb2fcaf4;GSM2513749_C17;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C17;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467465;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
a7324c86-0b4b-4185-affc-96e606bfec26;GSM2513611_C2;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C2;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466425;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
051e8d0f-3c72-476a-80be-b05fce30ae9b;GSM2513645_C20;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C20;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466409;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
d7101449-74c7-4c55-b731-4d4810799539;GSM2513759_C21;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C21;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467460;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
e6d70fbb-ebc3-490f-bafc-6e65264ef9b4;GSM2513765_C23;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C23;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467457;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
30eb63c5-19ea-4afb-a658-eb06c74bdd85;GSM2513576_C25;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C25;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466443;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
5df02553-eafa-4427-8c63-b7da1a296061;GSM2513661_C26;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C26;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466401;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
d47b5a36-f90d-45eb-aafa-f31a0c3fd8bc;GSM2513729_C27;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C27;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467475;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
596541f8-7ac8-494c-8fa2-5570fa338d9d;GSM2513717_C28;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C28;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467481;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
ac4f9a24-74cb-49a9-bfe7-b9dda8c40d5a;GSM2513432_C29;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C29;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466535;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
0982a1b5-8d08-4428-aa20-557556e27ca4;GSM2513727_C3;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C3;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467476;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
ec256abd-c825-4a57-8b31-72ddd84083ca;GSM2513472_C30;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C30;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466495;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
980e4f6d-4ebc-4b41-a5ed-cd8ca79e9fac;GSM2513678_C32;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C32;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466393;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
fb19edd8-f58c-4bce-886e-45dc97b62230;GSM2513440_C35;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C35;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466527;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
7ac054a5-bdd7-48c7-ad60-814ce0f739d3;GSM2513594_C37;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C37;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466433;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
45d60f4e-0ca9-412e-8fad-ac42bfdbeece;GSM2513696_C38;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C38;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466385;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
5cc60bd0-37d2-40e4-9d43-d53394ef787a;GSM2513745_C39;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C39;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467467;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
ede648a4-606f-46f9-8565-216dee49a6ed;GSM2513456_C4;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C4;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466511;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
81ef36e4-8b9e-4114-bafe-23cb4d383942;GSM2513448_C41;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C41;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466519;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
4f6bd0e8-c92e-48d2-a02f-32b83e6bdbb7;GSM2513481_C42;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C42;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466487;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
2b215df3-aaf9-4e85-8482-aa683af6be91;GSM2513761_C45;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C45;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467459;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
25b1ab55-1f7d-4921-b04b-2f60899f4b4d;GSM2513733_C46;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C46;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467473;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
6006f369-16ff-4105-af4f-7b559b124608;GSM2513579_C49;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C49;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466442;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
3bb462d0-7f0d-445f-b9e4-e822f6dfa721;GSM2513698_C50;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C50;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466384;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
88531f5a-cc64-45af-a92a-5b87a0e8920b;GSM2513598_C51;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C51;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466431;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
05d1f6ad-8805-4408-b8ee-bb69156de095;GSM2513497_C52;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C52;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466479;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
89ce81a4-9743-4ceb-8084-749dd946e1bd;GSM2513433_C53;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C53;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466534;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
752ec8de-3221-4afd-ba75-2389cc517cc1;GSM2513596_C55;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C55;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466432;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
3303361d-d278-4bad-b6bc-660348b8681c;GSM2513714_C56;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C56;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467482;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
d460e5c2-4480-48f8-b5a3-3616bb923915;GSM2513615_C57;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C57;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466423;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
e9bb462c-724e-4e21-9671-2bb9b958e49a;GSM2513515_C58;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C58;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466470;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
7418d9d0-c0d8-4f14-b6ef-c503878156f9;GSM2513441_C59;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C59;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466526;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
1a58f100-60e3-4f8d-888b-a0ee1151ce6b;GSM2513682_C6;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C6;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466391;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
e0e30f30-7b16-4f1c-a9f9-ab5e48e11fc1;GSM2513500_C60;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C60;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466478;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
92de64bb-63c9-4550-bea1-74315943707a;GSM2513613_C61;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C61;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466424;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
57ab5c47-36ea-46a3-a35f-b7aa1207deba;GSM2513532_C64;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C64;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466462;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
ff4a317d-593b-4695-b98b-cc0d295ef5ac;GSM2513449_C65;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C65;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466518;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
bad6bd71-8edb-467f-8e3d-a27a3c54022d;GSM2513629_C67;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C67;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466415;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
0f653515-5c2d-47fa-99d6-fc43d3edac52;GSM2513457_C71;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C71;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466510;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
22a0f91a-7474-4b03-b7f0-3c8553e4d179;GSM2513747_C74;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C74;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467466;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
4dcb5456-50f7-43ca-821d-e14aeffd2f19;GSM2513647_C75;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C75;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466408;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
b5ee6b16-aa25-4d75-b921-db8ccb57e92e;GSM2513465_C77;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C77;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466502;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
639a1127-e1f8-47cc-9aa2-78d947026056;GSM2513763_C80;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C80;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467458;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
32d983d5-a532-4dc4-94cb-b910cf88da25;GSM2513664_C81;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C81;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466400;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
bda63e27-720b-4a30-be13-0ea9900d15cd;GSM2513473_C83;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C83;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466494;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
7bf3ebc4-6ee2-4dc2-a684-e65825daee23;GSM2513549_C84;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C84;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466454;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
18ded12d-a3a0-4a09-a07a-1bddd406b8f8;GSM2513649_C85;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C85;20150708;stromal cell;CL:0000499;stromal cell;SAMN06466407;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
7175b3dc-d92d-4171-a07c-6e00b17e114c;GSM2513743_C9;;Human healthy donor colon, stromal cell;Human_S2_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C9;20150708;stromal cell;CL:0000499;stromal cell;SAMN06467468;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
